file_name,word_count1, avg_sentence_length1, sentence_count1, difficult_words1, avg_syllables_per_word1, poly_syllable_count1,Avg_wordLength1, Avg_SentLenghtByCh1, Avg_SentLenghtByWord1,CountSpecialCharacter1, CountPuncuation1,CountFunctionalWords1, AvgWordFrequencyClass1,typeTokenRatio1, BrunetsMeasureW1,YulesCharacteristicK1, ShannonEntropy1,SimpsonsIndex1, smog_index1, gunning_fog1,flesch_reading_ease1, dale_chall_readability_score1
129.txt,1035,11.01063829787234,94,88,1.0,81,4.744897959183674,78.89473684210526,13.947368421052632,0.0035141664836371624,0.032725675378871076,0.5863636363636363,2.4875,0.36633663366336633,53.957848629025264,1182.3605371900826,7.700145287598333,0.992199296721481,8.4,9.805221502723818,111.06,5.53

13.txt,1849,11.55625,160,148,1.1,145,5.024365482233502,49.124260355029584,9.142011834319527,0.0004722550177095632,0.03648170011806375,0.6316455696202532,3.2151898734177213,0.34516129032258064,86.60073332715397,1072.4403140522352,8.374480636458848,0.993644431261574,8.6,9.824230665224446,102.05,5.47

130.txt,776,14.10909090909091,55,52,1.1,50,5.296202531645569,81.28888888888889,14.911111111111111,0.0002701242571582928,0.02377093462992977,0.5669064748201439,3.3194244604316547,0.4474708171206226,52.08352557973428,1593.830547073133,7.709119271506363,0.9918561980386872,8.6,10.324048734770386,99.45,5.39

131.txt,941,8.877358490566039,106,99,1.1,93,4.72998137802607,48.67857142857143,8.833333333333334,0.0009587727708533077,0.036193672099712366,0.5565110565110565,3.205159705159705,0.40293809024134314,56.52525221153425,1437.014409987383,7.821729733723949,0.9926259704857491,8.5,9.759232450424077,104.76,5.74

132.txt,1687,12.58955223880597,134,132,1.0,127,4.900219298245614,73.99019607843137,13.598039215686274,0.0010460251046025104,0.028896443514644352,0.5980926430517711,3.587874659400545,0.3441053261520048,77.87394025592549,993.2232773277699,8.137820115884718,0.9921952343008494,8.7,10.165637137371826,109.46,5.5

133.txt,1186,11.295238095238096,105,99,1.0,92,4.441481481481482,69.02777777777777,12.819444444444445,0.0011902400317397343,0.03213648085697282,0.581888246628131,2.926782273603083,0.3445378151260504,58.14644072369945,1051.8783342800182,7.690762042497219,0.9907729982924659,8.5,9.857049706897937,110.77,5.51

134.txt,928,13.44927536231884,69,67,1.0,65,4.532520325203252,79.13725490196079,15.549019607843137,0.0014684287812041115,0.02936857562408223,0.5230024213075061,3.072639225181598,0.3946524064171123,53.57327814662394,1258.347061892841,7.710871729070799,0.9918673416978502,8.7,10.267641179410296,108.58,5.44

135.txt,754,14.5,52,47,1.2,47,5.572815533980583,88.69767441860465,15.186046511627907,0.0012966804979253112,0.021006224066390043,0.6801736613603473,2.6772793053545585,0.4622395833333333,53.65899314735527,1722.5397450369753,7.782990756845263,0.993351370624384,8.6,10.293368700265253,90.6,5.34

136.txt,578,12.297872340425531,47,44,1.0,43,4.2746268656716415,70.79411764705883,13.617647058823529,0.0,0.033196721311475406,0.5542635658914729,2.5174418604651163,0.4229452054794521,38.877017175238485,1492.9992187969474,7.243246355373366,0.9909234590200948,8.6,9.964131635132151,109.75,5.45

137.txt,2160,10.693069306930694,202,174,1.0,158,4.578313253012048,53.5,10.619047619047619,0.011141452758055708,0.03659202621518296,0.6133704735376044,3.4718662952646238,0.29422806194274986,82.05654195614837,806.9397351044762,8.1860029047129,0.9925787909559255,8.2,9.4994499449945,111.38,5.44

